
Project:     span1
Program:     Waypoint ToolBox BETA Version 1.00.2506
Profile:     Extended Geographic (TOW)
Source:      GPS Epochs(Forward)

Datum:       WGS84
Remote:      Antenna height 0.000 m, to L1-PC (Generic)
SD/Covariance Scaling Settings:
  Position: No scaling (1-sigma)
  Velocity: No scaling (1-sigma)
  Increase SD on kinematic float: No

      GPSTime Week         Latitude        Longitude        H-Ell      SDHoriz     SDHeight     VEast    VNorth       VUp Sol       Roll      Pitch    Heading
        (sec) week       (+/-D M S)       (+/-D M S)          (m)          (m)          (m)     (m/s)     (m/s)     (m/s)          (Deg)      (Deg)      (Deg)
 34150.850000 2047   22 18 07.67926  114 11 25.43100        2.878        0.000        0.000     0.009     0.008    -0.009 3     -1.99510    0.56960  138.16960
 34150.900000 2047   22 18 07.67927  114 11 25.43100        2.878        0.000        0.000     0.004     0.004    -0.012 3     -1.99930    0.57100  138.16940
 34150.950000 2047   22 18 07.67927  114 11 25.43100        2.878        0.000        0.000    -0.001    -0.001     0.003 3     -1.99860    0.57110  138.16880
 34151.050000 2047   22 18 07.67928  114 11 25.43101        2.878        0.000        0.000     0.007     0.006    -0.007 3     -1.99140    0.56990  138.17020
 34151.150000 2047   22 18 07.67928  114 11 25.43101        2.878        0.000        0.000    -0.004    -0.003     0.001 3     -1.99610    0.57080  138.16990
 34151.250000 2047   22 18 07.67929  114 11 25.43102        2.879        0.000        0.000     0.007     0.004    -0.005 3     -1.99170    0.56850  138.16940
 34151.350000 2047   22 18 07.67930  114 11 25.43102        2.879        0.000        0.000    -0.001    -0.004    -0.002 3     -1.99520    0.57220  138.17010
 34151.450000 2047   22 18 07.67930  114 11 25.43103        2.879        0.000        0.000     0.008     0.004    -0.003 3     -1.99070    0.56970  138.16950
 34151.550000 2047   22 18 07.67931  114 11 25.43103        2.879        0.000        0.000     0.000    -0.003    -0.006 3     -1.99560    0.57190  138.16960
 34151.650000 2047   22 18 07.67931  114 11 25.43104        2.879        0.000        0.000     0.005     0.002     0.001 3     -1.98990    0.57000  138.16910
 34151.750000 2047   22 18 07.67932  114 11 25.43104        2.879        0.000        0.000    -0.002     0.000    -0.009 3     -1.99470    0.57150  138.17000
 34151.850000 2047   22 18 07.67932  114 11 25.43105        2.879        0.000        0.000     0.003     0.001     0.004 3     -1.99160    0.56910  138.16860
 34151.950000 2047   22 18 07.67932  114 11 25.43105        2.879        0.000        0.000    -0.002    -0.002    -0.010 3     -1.99490    0.57060  138.16970
 34152.050000 2047   22 18 07.67933  114 11 25.43106        2.879        0.000        0.000     0.002     0.000     0.006 3     -1.98650    0.56880  138.17000
 34152.150000 2047   22 18 07.67933  114 11 25.43106        2.879        0.000        0.000     0.000    -0.002    -0.011 3     -1.99010    0.57180  138.17120
 34152.250000 2047   22 18 07.67934  114 11 25.43107        2.879        0.000        0.000     0.005     0.001     0.006 3     -1.98770    0.57080  138.17040
 34152.350000 2047   22 18 07.67934  114 11 25.43107        2.879        0.000        0.000    -0.005    -0.005    -0.004 3     -1.99140    0.57150  138.17080
 34152.450000 2047   22 18 07.67934  114 11 25.43107        2.879        0.000        0.000     0.003     0.003    -0.002 3     -1.98740    0.57160  138.16950
 34152.550000 2047   22 18 07.67934  114 11 25.43108        2.879        0.000        0.000     0.001    -0.002     0.004 3     -1.98610    0.57140  138.17070
 34152.650000 2047   22 18 07.67935  114 11 25.43108        2.879        0.000        0.000    -0.002    -0.002    -0.006 3     -1.98830    0.57230  138.16990
 34152.750000 2047   22 18 07.67935  114 11 25.43108        2.879        0.000        0.000     0.003     0.003     0.003 3     -1.98790    0.56950  138.16950
 34152.850000 2047   22 18 07.67935  114 11 25.43109        2.879        0.000        0.000    -0.007    -0.008    -0.001 3     -1.98430    0.57470  138.17010
 34152.950000 2047   22 18 07.67935  114 11 25.43109        2.879        0.000        0.000     0.004     0.003    -0.003 3     -1.98130    0.56980  138.16970
 34153.050000 2047   22 18 07.67935  114 11 25.43109        2.880        0.000        0.000    -0.004    -0.004     0.001 3     -1.98700    0.57210  138.17040
 34153.150000 2047   22 18 07.67936  114 11 25.43110        2.880        0.000        0.000    -0.003     0.000    -0.006 3     -1.99120    0.56910  138.16830
 34153.250000 2047   22 18 07.67936  114 11 25.43110        2.880        0.000        0.000    -0.009    -0.009     0.007 3     -1.98080    0.57010  138.16800
 34153.350000 2047   22 18 07.67936  114 11 25.43110        2.880        0.000        0.000    -0.001    -0.001    -0.013 3     -1.97160    0.56850  138.17050
 34153.450000 2047   22 18 07.67936  114 11 25.43110        2.880        0.000        0.000     0.000    -0.001     0.011 3     -1.97630    0.56760  138.16760
 34153.550000 2047   22 18 07.67936  114 11 25.43111        2.880        0.000        0.000     0.000     0.000    -0.016 3     -1.97920    0.57080  138.16840
 34153.650000 2047   22 18 07.67936  114 11 25.43111        2.880        0.000        0.000    -0.002    -0.005     0.013 3     -1.97500    0.57020  138.16830
 34153.750000 2047   22 18 07.67936  114 11 25.43111        2.880        0.000        0.000    -0.002    -0.002    -0.016 3     -1.97460    0.57090  138.16880
 34153.850000 2047   22 18 07.67936  114 11 25.43111        2.880        0.000        0.000     0.000    -0.002     0.014 3     -1.97290    0.56910  138.16770
 34153.950000 2047   22 18 07.67936  114 11 25.43111        2.880        0.000        0.000    -0.006    -0.005    -0.016 3     -1.97730    0.57140  138.16850
 34154.050000 2047   22 18 07.67936  114 11 25.43111        2.880        0.000        0.000     0.000     0.000     0.011 3     -1.97290    0.56850  138.16730
 34154.150000 2047   22 18 07.67936  114 11 25.43112        2.880        0.000        0.000    -0.008    -0.005    -0.017 3     -1.97800    0.57110  138.16800
 34154.250000 2047   22 18 07.67936  114 11 25.43112        2.880        0.000        0.000    -0.004    -0.005     0.010 3     -1.95770    0.56630  138.16260
 34154.350000 2047   22 18 07.67936  114 11 25.43112        2.880        0.000        0.000    -0.001     0.002    -0.013 3     -1.95140    0.56580  138.16910
 34154.450000 2047   22 18 07.67936  114 11 25.43112        2.880        0.000        0.000     0.001     0.001     0.008 3     -1.95270    0.56610  138.16470
